Species,Plot,Observers,Date,Intersection,Height(cm),BasalDiam(cm),Distance (m)
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,S4,72,0.3,0.01
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,S5,48,0.3,0.1
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,S1,63,0.2,0.03
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,S2,40,0.1,0.49
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,S3,40,0.1,0.8
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,S4,42.5,0.2,1.56
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,S5,48,0.3,1.73
Picea glauca,CS_19,IR & GR,2019-07-17,S1,92.5,2,1.33
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,S1,62,0.2,1.27
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,S2,85,0.3,1.2
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,S3,91,0.4,1.17
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,S4,51,0.2,1.44
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,S5,43,0.1,1.5
Rhododendron groenlandicum,CS_19,IR & GR,2019-07-17,S1,120,0.3,7.17
Rhododendron groenlandicum,CS_19,IR & GR,2019-07-17,S2,141,0.8,7.68
Rhododendron groenlandicum,CS_19,IR & GR,2019-07-17,S3,76,0.3,8
Rhododendron groenlandicum,CS_19,IR & GR,2019-07-17,S4,118,0.9,8.09
Acer rubrum,CS_19,IR & GR,2019-07-17,S1,41,0.1,9.24
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,W1,91,0.1,0.54
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,W2,49,0.3,0.6
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,W3,52,0.3,0.5
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,W4,74,0.3,0.57
Kalmia angustifolia,CS_19,IR & GR,2019-07-17,W5,63,0.3,0.64
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,W1,53,0.3,1.04
Vaccinium angustifolium ,CS_19,IR & GR,2019-07-17,W2,61,0.4,3
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,W1,63,0.4,0.77
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,W2,62,0.4,1.26
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,W3,49,0.3,2.17
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,W4,47,0.5,2.43
Amelanchier Spp.,CS_19,IR & GR,2019-07-17,W5,58,0.6,5.32
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,N1,0.6,0.3,0.11
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,N2,58,0.3,0.15
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,N3,83,0.5,1.26
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,N4,53,0.4,1.02
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,N5,42,0.2,1.37
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,N1,86,0.2,0.77
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,N2,105,0.6,1
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,N3,72,0.4,1
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,N4,64,0.3,1.06
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,N5,100,0.5,1.8
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,N1,55,0.2,2
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,N2,41,0.1,2.6
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,N3,55,0.3,9
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,N4,40,0.3,9.9
Amelanchier Spp.,CS_20,IR & GR,2019-07-24,N1,49,0.3,3.74
Sorbus america,CS_20,IR & GR,2019-07-24,N1,72,0.5,3.03
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,E1,45,0.4,0.34
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,E2,50,0.2,0.53
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,E3,58,0.3,0.76
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,E4,60,0.3,0.9
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,E5,52,0.2,1.09
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,E1,94,0.5,0.3
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,E1,42,0.1,1.8
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,S1,42,0.2,0.13
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,S2,52,0.2,0.07
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,S3,58,0.3,0.39
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,S4,40,0.2,0.5
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,S5,40,0.2,0.71
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,S1,102.5,0.5,1.88
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,S2,115.5,0.4,2.6
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,S3,108,0.5,2.55
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,S4,113,0.6,2.68
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,S5,96,0.7,2.69
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,S1,48,0.2,1.77
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,S2,50,0.3,5.27
Viburnum Spp.,CS_20,IR & GR,2019-07-24,S1,55,0.5,4.74
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,W1,52,0.3,0.53
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,W2,41.5,0.2,1.7
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,W3,42,0.2,2.11
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,W4,47,0.2,2.17
Kalmia angustifolia,CS_20,IR & GR,2019-07-24,W5,52,0.2,2.42
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,W1,47,0.1,0.8
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,W2,42,0.2,0.89
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,W3,48,0.2,2.42
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,W4,40,0.3,3.23
Vaccinium angustifolium ,CS_20,IR & GR,2019-07-24,W5,40,0.2,3.36
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,W1,103,0.5,2.16
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,W2,110,0.4,3.85
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,W3,131.5,0.5,3.93
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,W4,70.5,0.3,4.35
Pteridium aquilinum,CS_20,IR & GR,2019-07-24,W5,140,0.5,5.5
Picea maria,CS_20,IR & GR,2019-07-24,W1,122,1.7,4.06
Rhododendron groenlandicum,CS_20,IR & GR,2019-07-24,W1,76,0.3,4.1
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,N1,76,0.6,0.25
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,N2,41,0.2,0.38
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,N3,48,0.3,0.8
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,N4,43,0.2,1.29
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,N5,56,0.1,1.65
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,N1,90,0.5,6.79
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,N2,76,0.4,7.8
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,N3,52,0.3,7.82
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,N4,54,0.3,7.96
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,N5,77,0.3,8.25
Betula papyrifera,CS_21,IR & GR,2019-07-22,N1,64,0.4,9.54
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,E1,61,0.2,0.5
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,E2,85,0.3,0.64
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,E3,85,0.4,0.68
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,E4,40,0.2,0.61
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,E5,67,0.3,0.58
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,E1,53,0.2,0.5
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,E2,40,0.1,7.87
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,E3,60,0.3,7.9
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,E4,41,0.2,7.96
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,E5,57,0.3,8.83
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,S1,43,0.3,1.78
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,S2,108,0.6,2.33
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,S3,45,0.2,3.05
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,S4,61,0.2,3.26
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,S5,87,0.3,3.1
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,S1,55,0.2,3.23
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,S2,43,0.2,3.99
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,S3,40,4.6,4.49
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,S4,42,0.2,5.13
Picea maria,CS_21,IR & GR,2019-07-22,S1,169,2,3.76
Picea glauca,CS_21,IR & GR,2019-07-22,S1,151,1.9,6.17
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,W1,73,0.6,0.49
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,W2,42,0.1,0.85
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,W3,50,0.3,1.42
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,W4,53,0.2,1.64
Kalmia angustifolia,CS_21,IR & GR,2019-07-22,W5,93,0.4,1.71
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,W1,101,0.4,2.05
Vaccinium angustifolium ,CS_21,IR & GR,2019-07-22,W2,64,0.4,4.61
Picea maria,CS_21,IR & GR,2019-07-22,W1,118,1.4,1.16
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,N1,60,0.3,1.82
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,N2,41,0.2,2.39
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,N3,83,0.5,2.76
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,N4,44,0.1,2.5
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,N5,48,0.2,2.58
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,N1,41,0.1,2.9
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,N2,40,0.1,2.84
Alnus inca,CS_22,IR & GR,2019-07-15,N1,49,1,4.78
Alnus inca,CS_22,IR & GR,2019-07-15,N2,50,1.4,5
Alnus inca,CS_22,IR & GR,2019-07-15,N3,49,1,5.08
Alnus inca,CS_22,IR & GR,2019-07-15,N4,44,0.9,4.9
Alnus inca,CS_22,IR & GR,2019-07-15,N5,45,1.1,4.88
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,E1,46,0.2,0.3
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,E2,54,0.2,1.35
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,E3,42,0.1,1.65
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,E4,52,0.2,1.64
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,E5,60,0.2,1.64
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,E1,40,0.2,1.61
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,E2,52,0.4,2.35
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,E3,48,0.4,2.26
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,E4,67,0.3,2.4
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,E5,43,0.2,3.5
Picea maria,CS_22,IR & GR,2019-07-15,E1,114,1,1.02
Picea maria,CS_22,IR & GR,2019-07-15,E2,99,1.2,1.4
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,S1,81.5,0.4,0.69
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,S2,50,0.2,1.18
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,S3,48,0.1,1.16
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,S4,75,0.3,1.35
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,S5,46.5,0.3,1.4
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,S1,43.5,0.1,0.89
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,S2,114,0.5,0.98
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,S3,45,0.1,0.86
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,S4,48,0.2,0.92
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,S5,93.5,0.2,1.06
Amelanchier Spp.,CS_22,IR & GR,2019-07-15,S1,54,0.6,9.97
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,W1,56,0.3,1
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,W2,63,0.4,1.06
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,W3,45,0.4,1.37
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,W4,40,0.2,1.57
Kalmia angustifolia,CS_22,IR & GR,2019-07-15,W5,44,0.2,1.5
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,W1,57,0.4,0.4
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,W2,42,0.2,1.24
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,W3,47,0.2,1.4
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,W4,55,0.4,1.38
Vaccinium angustifolium ,CS_22,IR & GR,2019-07-15,W5,48,0.3,1.7
Amelanchier Spp.,CS_22,IR & GR,2019-07-15,W1,56,0.4,8.47
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,N1,71,0.3,0.6
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,N2,78,0.3,0.68
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,N3,74,0.3,0.64
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,N4,74,0.3,0.7
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,N5,69,0.3,2.4
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,N1,54,0.2,2
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,N2,44,0.2,2.04
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,N3,53.5,0.3,6.54
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,N4,42,0.3,6.5
Vaccinium angustifolium ,CS_23,IR & GR,2019-07-26,N1,47,0.7,10
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,E1,81,0.3,0.56
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,E2,74,0.4,0.63
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,E3,85,0.4,0.7
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,E4,69,0.3,0.65
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,E5,76,0.3,1.1
Picea glauca,CS_23,IR & GR,2019-07-26,E1,138,2.2,2.21
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,S1,74,0.3,0.56
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,S2,70,0.4,1.04
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,S3,80.5,0.4,1.52
Picea maria,CS_23,IR & GR,2019-07-26,S4,149,1.5,3.51
Picea maria,CS_23,IR & GR,2019-07-26,S5,148,1.1,8.25
Amelanchier Spp.,CS_23,IR & GR,2019-07-26,S1,56,0.8,0.06
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,W1,80,0.3,0.6
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,W2,70,0.3,1.6
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,W3,59,0.3,1.81
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,W4,69,0.3,3.2
Pteridium aquilinum,CS_23,IR & GR,2019-07-26,W5,69,0.3,3.46
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,W1,40,0.2,1.05
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,W2,47,0.2,0.63
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,W3,84,0.5,1
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,W4,40,0.3,1.11
Kalmia angustifolia,CS_23,IR & GR,2019-07-26,W5,48,0.3,1.61
Amelanchier Spp.,CS_23,IR & GR,2019-07-26,W1,60,0.5,7.37
Vaccinium angustifolium ,CS_23,IR & GR,2019-07-26,W1,40,0.3,1.1
Vaccinium angustifolium ,CS_23,IR & GR,2019-07-26,W2,42,0.5,2.83
Vaccinium angustifolium ,CS_23,IR & GR,2019-07-26,W3,55,0.5,3.76
Vaccinium angustifolium ,CS_23,IR & GR,2019-07-26,W4,40,0.3,4.22
Vaccinium angustifolium ,CS_23,IR & GR,2019-07-26,W5,40,0.4,5.12
Aralia nudicaulis,CS_23,IR & GR,2019-07-26,W1,41,0.2,10
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,N1,44,0.2,0.18
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,N2,47,0.3,0.24
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,N3,51.5,0.2,0.35
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,N4,45,0.2,0.24
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,N5,40,0.2,0.25
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,N1,54,0.2,9.04
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,N1,157,1.1,0.89
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,N2,116,0.5,0.89
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,N3,42,0.4,2.7
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,E1,44,0.1,0.5
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,E2,44,0.2,0.54
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,E3,44,0.2,0.56
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,E4,85,0.3,0.67
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,E5,63,0.2,0.51
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,E1,50,0.3,1.28
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,E2,40,0.2,1.34
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,E3,47,0.3,2.51
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,E4,78,0.4,6.1
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,E5,53,0.4,6.6
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,E1,92,0.7,1.71
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,E2,86,0.4,6.1
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,E3,44,0.3,6.52
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,S1,53.5,0.2,0.67
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,S2,63,0.2,0.63
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,S3,42.5,0.3,1.19
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,S4,52,0.3,1.97
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,S5,58,0.3,2.38
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,S1,44,0.3,1.66
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,S2,47,0.2,9.54
Amelanchier Spp.,CS_24,IR & GR,2019-07-22,S1,55,0.7,9.92
Picea maria,CS_24,IR & GR,2019-07-22,S1,184,1.8,2.86
Picea maria,CS_24,IR & GR,2019-07-22,S2,107,1,4
Picea maria,CS_24,IR & GR,2019-07-22,S3,144,1.8,4.09
Picea maria,CS_24,IR & GR,2019-07-22,S4,153,3,6.22
Picea glauca,CS_24,IR & GR,2019-07-22,S5,147,2.7,9.1
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,W1,41,0.1,1.45
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,W2,50,0.2,1.48
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,W3,45,0.2,1.85
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,W4,43,0.3,2.14
Kalmia angustifolia,CS_24,IR & GR,2019-07-22,W5,51,0.2,2.46
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,W1,42,0.2,2.46
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,W2,63,0.2,3.12
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,W3,54,0.2,4.57
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,W4,44,0.2,4.9
Vaccinium angustifolium ,CS_24,IR & GR,2019-07-22,W5,61,0.4,5.2
Picea glauca,CS_25,IR & GR,2019-07-16,N1,62,2.7,8.82
Kalmia angustifolia,CS_25,IR & GR,2019-07-16,E1,41,0.2,1.39
Kalmia angustifolia,CS_25,IR & GR,2019-07-16,E2,69,0.5,1.59
Kalmia angustifolia,CS_25,IR & GR,2019-07-16,E3,55,0.4,1.64
Kalmia angustifolia,CS_25,IR & GR,2019-07-16,E4,65,0.9,1.6
Kalmia angustifolia,CS_25,IR & GR,2019-07-16,E5,62.5,0.4,1.57
Amelanchier Spp.,CS_25,IR & GR,2019-07-16,E1,43,0.4,5.43
Vaccinium angustifolium ,CS_25,IR & GR,2019-07-16,E1,42,0.3,5.1
Vaccinium angustifolium ,CS_25,IR & GR,2019-07-16,E2,40,0.3,4.26
Picea maria,CS_25,IR & GR,2019-07-16,E1,64,0.9,10
Vaccinium angustifolium ,CS_25,IR & GR,2019-07-16,W1,41,0.5,1.8
Vaccinium angustifolium ,CS_25,IR & GR,2019-07-16,W2,40,0.2,9.8
Kalmia angustifolia,CS_26,IR & GR,2019-07-25,N1,41,0.2,3.77
Kalmia angustifolia,CS_26,IR & GR,2019-07-25,N2,46,0.2,3.95
Kalmia angustifolia,CS_26,IR & GR,2019-07-25,N3,69,0.3,4
Kalmia angustifolia,CS_26,IR & GR,2019-07-25,N4,53,0.3,5.02
Kalmia angustifolia,CS_26,IR & GR,2019-07-25,N5,40,0.2,5.13
Picea maria,CS_26,IR & GR,2019-07-25,N1,50,0.6,4.87
Vaccinium angustifolium ,CS_26,IR & GR,2019-07-25,N1,44,0.2,8.3
Picea maria,CS_26,IR & GR,2019-07-25,S1,112,2.5,7.88
Picea  maria,CS_26,IR & GR,2019-07-25,S2,119,1.2,7.84
Vaccinium angustifolium ,CS_26,IR & GR,2019-07-25,W1,40,0.3,5.37
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,N1,41,0.2,3.56
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,N2,64,0.4,3.49
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,N3,70,0.5,3.6
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,N4,78,0.9,3.61
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,N5,51,0.2,3.83
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,N1,43,0.3,1.56
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,N2,43,0.2,3.84
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,N3,40,0.2,4.03
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,N4,62,0.5,4.49
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,N5,63,0.4,4.59
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,N1,77,1.9,7.45
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,N2,64,0.7,8.5
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,E1,53,0.3,74
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,E2,59,0.4,0.59
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,E3,58,0.3,0.74
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,E4,49,0.2,2
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,E5,63,0.3,2.57
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,E1,42,0.4,0.59
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,E2,43,0.3,4.9
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,E3,48,0.3,4.9
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,E4,42,0.2,4.8
Picea maria,CS_27,IR & GR,2019-07-21,E1,182,0.3,2.3
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,S1,47.5,0.3,0.73
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,S2,88,0.6,0.83
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,S3,48,0.2,0.97
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,S4,52,0.3,1.11
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,S5,89,0.9,1.23
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,S1,52,0.3,0.29
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,S2,49,0.3,0.35
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,S3,49,0.2,0.5
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,S4,42,0.3,0.6
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,S5,51,0.4,0.79
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,S1,45.5,0.4,0.83
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,S2,53,0.7,0.9
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,S3,47,0.4,0.95
Amelanchier Spp.,CS_27,IR & GR,2019-07-21,S4,45,0.4,1.2
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,W1,45,0.4,8.53
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,W2,45.5,0.2,8.56
Kalmia angustifolia,CS_27,IR & GR,2019-07-21,W3,47.5,0.5,8.65
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,W1,43,0.2,0.27
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,W2,48,0.3,0.22
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,W3,45,0.2,0.26
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,W4,51,0.4,0.35
Vaccinium angustifolium ,CS_27,IR & GR,2019-07-21,W5,42,0.1,0.5
Picea maria,CS_27,IR & GR,2019-07-21,W1,46,0.5,8.52
Picea maria,CS_27,IR & GR,2019-07-21,W2,57,1.2,8.9
Rhododendron groenlandicum,CS_27,IR & GR,2019-07-21,W1,59,0.5,6.28
Rhododendron groenlandicum,CS_27,IR & GR,2019-07-21,W2,47,0.4,6.58
Rhododendron groenlandicum,CS_27,IR & GR,2019-07-21,W3,45,0.3,6.8
Alnus inca,CS_28,IR & GR,2019-07-28,N1,141,1,0.04
Alnus inca,CS_28,IR & GR,2019-07-28,N2,109,0.7,0.09
Alnus inca,CS_28,IR & GR,2019-07-28,N3,148,1.2,0.1
Alnus inca,CS_28,IR & GR,2019-07-28,N4,102,0.4,0.12
Alnus inca,CS_28,IR & GR,2019-07-28,N5,100,0.6,0.16
Kalmia angustifolia,CS_28,IR & GR,2019-07-28,N1,52,0.4,0.08
Kalmia angustifolia,CS_28,IR & GR,2019-07-28,N2,55,0.5,0.13
